Player Name,Rounds,Fairway Percentage,Year,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money
Martin Kaymer,61.00,61.36,2013,288.40,64.85,30.00,52.59,70.56,474,,3,0.14,0.14,0.40,-0.07,-0.34,882937
Pat Perez,69.00,61.35,2013,290.10,67.87,29.35,56.64,70.84,544,,4,-0.04,0.28,-0.13,0.51,-0.06,974800
Sergio Garcia,65.00,61.28,2013,291.00,67.46,28.92,57.45,69.54,684,,4,0.59,1.52,0.13,0.54,0.26,2251139
Luke Guthrie,82.00,61.24,2013,283.50,63.62,29.07,58.85,71.14,607,,2,-0.21,0.02,-0.12,0.28,0.06,991902
Trevor Immelman,73.00,61.19,2013,283.60,66.51,29.94,59.13,71.49,295,,1,-0.37,-0.29,-0.18,0.16,0.09,360549
Ben Crane,62.00,60.94,2013,281.00,63.98,28.98,63.83,70.86,369,,2,0.02,0.20,-0.14,0.31,0.01,796947
Geoff Ogilvy,57.00,60.94,2013,285.10,62.18,29.82,55.67,71.59,492,,1,-0.34,-0.65,-0.16,-0.27,0.12,892920
Andrew Svoboda,46.00,60.91,2013,290.10,65.91,29.70,52.96,71.75,89,,,0.07,-0.56,-0.03,-0.30,-0.31,77219
Martin Laird,68.00,60.78,2013,293.40,63.64,29.50,56.18,71.03,809,1,2,-0.13,0.01,0.39,-0.20,-0.06,1755393
Josh Teater,86.00,60.77,2013,293.70,66.53,29.46,53.44,70.90,682,,3,0.02,0.34,0.37,0.08,-0.13,1332652
Chad Campbell,78.00,60.70,2013,288.90,67.03,29.58,58.76,71.23,330,,1,-0.25,-0.04,-0.29,0.53,-0.03,510661
Brian Harman,89.00,60.64,2013,287.50,62.61,28.54,58.74,71.29,578,,2,0.15,-0.30,0.32,-0.86,0.10,909759
John Senden,79.00,60.57,2013,289.30,65.95,29.96,53.97,70.97,458,,,-0.14,0.08,0.34,-0.26,0.13,667027
Ben Curtis,59.00,60.55,2013,274.90,63.84,29.67,54.99,71.53,251,,,0.21,-0.25,-0.63,-0.03,0.21,372543
John Merrick,79.00,60.51,2013,284.30,66.53,29.27,56.51,70.74,909,1,2,0.06,0.52,0.04,0.37,0.05,1969478
Derek Ernst,58.00,60.49,2013,291.50,63.89,29.86,49.34,72.27,598,1,1,-0.22,-1.08,0.23,-0.56,-0.53,1330856
Ricky Barnes,74.00,60.31,2013,289.40,70.48,30.29,53.23,71.34,342,,,-0.58,-0.28,-0.18,0.71,-0.23,553878
Robert Karlsson,56.00,60.19,2013,287.20,63.14,29.67,57.39,71.48,236,,1,-0.34,-0.29,-0.22,0.13,0.14,444238
